p,cand_old,wit_old,cand_bad,wit_bad,first_l_old,first_l_bad,witnesses_bad
641,49,28,74,42,1283,1283,1283 19231 32051 35897 46153 55127 74357 78203 108971 132047 135893 153841 165379 184609 219223 224351 230761 235889 269221 273067 274349 315373 332039 346141 351269 353833 382037 408959 424343 442291 461521 482033 507673 511519 539723 549979 557671 569209 578183 580747 584593 607669
643,56,34,79,49,10289,10289,10289 21863 48869 60443 61729 64301 65587 83591 96451 99023 102881 106739 110597 123457 129887 141461 189043 214763 237911 245627 253343 258487 273919 291923 303497 324073 342077 349793 351079 366511 372941 388373 393517 405091 430811 432097 438527 451387 457817 466819 507971 516973 540121 542693 573557 578701 585131 601849 605707
647,48,29,72,44,9059,9059,9059 23293 34939 38821 42703 43997 58231 67289 93169 106109 139753 170809 187631 194101 207041 210923 226451 241979 244567 261389 284681 304091 346793 349381 353263 364909 368791 393377 403729 438667 439961 469723 474899 482663 489133 496897 509837 513719 521483 524071 533129 547363 548657 613357
653,57,38,84,57,1307,1307,1307 3919 16979 20897 47017 58771 60077 82279 86197 94033 99257 101869 117541 126683 137131 144967 146273 197207 199819 208961 224633 236387 248141 250753 255977 282097 283403 287321 309523 314747 322583 360457 368293 380047 389189 395719 400943 424451 428369 466243 467549 470161 471467 483221 485833 497587 506729 517177 525013 532849 538073 541991 548521 557663 569417 616433 636023
659,51,31,73,42,1319,1319,1319 5273 9227 11863 15817 48767 52721 67219 100169 106759 112031 146299 171341 173977 226697 245149 249103 270191 276781 296551 309731 316321 321593 357179 376949 387493 403309 407263 415171 424397 430987 444167 448121 494251 495569 506113 521929 541699 549607 553561 628687 641867
661,57,34,80,47,14543,14543,14543 31729 43627 58169 70067 71389 77999 89897 105761 111049 117659 125591 126913 146743 153353 173183 198301 208877 226063 228707 248537 249859 284231 285553 308027 321247 360907 363551 375449 404533 411143 415109 420397 434939 448159 450803 487819 495751 499717 506327 526157 542021 553919 609443 626629 638527 645137
673,51,33,81,47,2693,2693,2693 24229 47111 56533 75377 80761 87491 91529 115757 123833 131909 148061 157483 161521 165559 176327 185749 226129 236897 246319 253049 265163 269201 290737 297467 302851 310927 327079 374189 379573 419953 423991 432067 458987 471101 500713 524941 527633 535709 547823 549169 551861 572051 576089 581473 593587 652811
677,52,28,75,44,5417,5417,5417 9479 16249 33851 44683 52807 66347 74471 85303 111029 127277 134047 158419 159773 196331 199039 212579 227473 261323 297881 318191 375059 389953 398077 411617 423803 444113 450883 479317 484733 491503 496919 513167 517229 525353 545663 548371 565973 614717 629611 649921 662107 670231 679709
683,46,30,71,48,4099,4099,4099 49177 50543 57373 61471 77863 99719 110647 136601 139333 173483 222659 241783 243149 245881 255443 280031 284129 290959 315547 329207 341501 345599 405703 411167 423461 426193 431657 434389 458977 475369 493127 499957 516349 520447 521813 557329 569623 575087 587381 594211 595577 614701 618799 644753 657047 672073 689831
691,53,28,77,48,8293,8293,8293 11057 20731 48371 56663 66337 98123 116089 143729 172751 185189 207301 214211 218357 236323 239087 243233 276401 288839 298513 315097 326153 352411 377287 393871 427039 456061 468499 480937 508577 509959 526543 529307 533453 537599 547273 574913 584587 588733 613609 620519 630193 649541 655069 667507 678563 691001 711731
